time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-08-12 12:00:00,-55.3442,4.193,40,2019,8,12,12,0,-1.1,991.0,0.4,15.2,0,36,46,8, 282706300B0526C0FFFCC23FC000A937DC1B0A5E7F,ISVP1_30min,811.9996176376884,534.3835172509732,972.0643613224761,1800.0,0.5400357562902645,0.4511108986876047,0.2968797318060962,260.11227310265014,188.21798708236864,321.067602351851
2019-08-12 12:30:00,-55.3396,4.2048,40,2019,8,12,12,30,-1.1,991.2,0.8,15.2,0,40,60,7, 28270631EB0926C1FFFCC1FFC000A93D9C1B807ABF,ISVP1_30min,748.652680209401,512.1171409326774,907.0528108229307,1800.0,0.5039182282349615,0.41591815567188944,0.28450952274037633,260.82836564454607,188.7301042233016,321.94795940484437
2019-08-12 13:00:00,-55.3354,4.2162,40,2019,8,12,13,0,-1.1,991.3,0.1,15.2,0,40,50,17, 282706340B0B26C03FFCC47FC000A942DC1BF266BF,ISVP1_30min,723.3584378162583,467.58487675975664,861.3263298741159,1800.0,0.4785146277078422,0.40186579878681017,0.2597693759776426,261.5201820130226,189.19768910006147,322.78254469677876
2019-08-12 13:30:00,-55.331,4.2262,40,2019,8,12,13,30,-1.1,990.5,-0.5,15.2,0,40,60,11, 28270635EAFB26BEBFFCC2FFC000A9485C1C567ABF,ISVP1_30min,634.592070325778,489.85047630657306,801.6611409181149,1800.0,0.44536730051006385,0.35255115018098776,0.2721391535036517,262.12703697586835,189.68753957636798,323.56134840905275
2019-08-12 14:00:00,-55.3264,4.2356,40,2019,8,12,14,0,-1.1,989.9,-1.3,15.2,0,36,46,12, 282706380AEF26BCBFFCC33FC000A94E1C1CB45E7F,ISVP1_30min,596.5826445454034,512.1160274216319,786.2402160376311,1800.0,0.4368001200209061,0.33143480252522406,0.28450890412312885,262.69747935904644,190.19965560378967,324.3237189189172
2019-08-12 14:30:00,-55.3224,4.2444,40,2019,8,12,14,30,-1.1,988.2,-3.1,15.2,0,40,38,27, 28270639EACD26B83FFCC6FFC000A9531C1D0C4EBF,ISVP1_30min,558.5675897980848,445.3179692574388,714.3569458725873,1800.0,0.39686496992921516,0.31031532766560266,0.24739887180968823,263.23150939798177,190.64497357304717,325.0174356686232
2019-08-12 15:00:00,-55.3186,4.2518,40,2019,8,12,15,0,-1.2,988.6,-2.0,15.2,0,40,46,8, 2827063C0AD5263AFFFCC23FC000A957DC1D565EBF,ISVP1_30min,469.75186359578686,423.0517989722915,632.1705766368812,1800.0,0.3512058759093784,0.26097325755321493,0.23502877720682863,263.6805792663436,191.06802537201915,325.6292956750008
2019-08-12 15:30:00,-55.3148,4.2586,40,2019,8,12,15,30,-1.1,987.0,-2.9,15.2,0,40,40,7, 2827063DEAB526B8BFFCC1FFC000A95C9C1D9A52BF,ISVP1_30min,431.7051637762307,423.05153410943467,604.4352313882839,1800.0,0.3357973507712688,0.23983620209790593,0.23502863006079705,264.0932373815031,191.49107690612843,326.2116959358014
2019-08-12 16:00:00,-55.3122,4.2652,40,2019,8,12,16,0,-1.2,984.8,-3.4,15.2,0,40,30,18, 282706400A8926377FFCC4BFC000A95FDC1DDC3EBF,ISVP1_30min,419.0480259257394,289.45616019616284,509.29963352408356,1800.0,0.2829442408467131,0.232804458847633,0.16080897788675713,264.4937578668999,191.78053306632458,326.7058628395852
2019-08-12 16:30:00,-55.3106,4.2706,40,2019,8,12,16,30,-1.2,983.3,-5.3,15.2,0,40,34,7, 28270641EA6B2632BFFCC1FFC000A961DC1E1246BF,ISVP1_30min,342.8799080412759,178.12680617622323,386.3881344152996,1800.0,0.21466007467516643,0.19048883780070883,0.09895933676456846,264.82145598625357,191.95865987250093,327.07572617167074
2019-08-12 17:00:00,-55.3096,4.276,40,2019,8,12,17,0,-1.2,982.0,-5.0,15.2,0,40,40,18, 282706440A5126337FFCC4BFC000A9631C1E4852BF,ISVP1_30min,342.8937121427309,111.32923001310172,360.5139321612025,1800.0,0.20028551786733473,0.19049650674596164,0.06184957222950096,265.14915369140994,192.06998910251394,327.40640558350526
2019-08-12 17:30:00,-55.3094,4.282,40,2019,8,12,17,30,-1.2,981.1,-3.7,15.2,0,40,30,14, 28270645EA3F2636BFFCC3BFC000A9635C1E843EBF,ISVP1_30min,381.002599498651,22.265843801711423,381.6526544188206,1800.0,0.21202925245490034,0.2116681108325839,0.012369913223173013,265.5132617662834,192.09225494631627,327.71439788958236
2019-08-12 18:00:00,-55.309,4.288,40,2019,8,12,18,0,-1.2,980.3,-2.9,15.2,0,40,34,7, 282706480A2F2638BFFCC1FFC000A963DC1EC046BF,ISVP1_30min,381.0045166903583,44.53168540040515,383.5981135811987,1800.0,0.21311006310066594,0.21166917593908793,0.024739825222447307,265.87736932846445,192.1367866317164,328.03554730880376
2019-08-12 18:30:00,-55.3096,4.2942,40,2019,8,12,18,30,-1.2,980.3,-1.7,15.2,0,40,26,20, 28270649EA2F263BBFFCC53FC000A9631C1EFE36BF,ISVP1_30min,393.7086294201052,-66.79752920293191,399.3349406043431,1800.0,0.22185274478019062,0.21872701634450287,-0.037109738446073286,266.25361327002514,192.06998910251394,328.301488411466
2019-08-12 19:00:00,-55.3116,4.2996,40,2019,8,12,19,0,-1.2,980.4,-0.7,15.2,0,40,38,11, 2827064C0A31263E3FFCC2FFC000A9609C1F344EBF,ISVP1_30min,342.9023395688019,-222.6584783695725,408.8505992066189,1800.0,0.22713922178145493,0.1905012997604455,-0.1236991546497625,266.5813091589629,191.84733062414438,328.4371974373736
2019-08-12 19:30:00,-55.3144,4.3036,40,2019,8,12,19,30,-1.2,980.4,0.0,15.2,0,40,30,7, 2827064DEA31263FFFFCC1FFC000A95D1C1F5C3EBF,ISVP1_30min,253.98895159230827,-311.7219929922988,402.0957453717344,1800.0,0.2233865252065191,0.14110497310683792,-0.17317888499572157,266.8240465856834,191.5356086311524,328.45237281844214
