time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-11-02 14:00:00+00:00,-59.3876,8.4376,,Point,-3.2,981.9,ISVP6,-920.5165090812566,401.04665238294086,1004.0861819976941,3600.0,0.2789128283326928,-0.2556990303003491,0.11140184788415024,16.010394657534867,1.8047071772175176,16.111787768138004
2019-11-02 15:00:00+00:00,-59.3838,8.4218,,Point,-3.42,982.3,ISVP6,-897.8828884971422,423.32678014878155,992.6727780326739,3600.0,0.2757424383424094,-0.24941191347142838,0.11759077226355043,15.11208539017863,1.3813803970688148,15.175089345419234
2019-11-02 16:00:00+00:00,-59.38,8.4066,,Point,-3.78,983.2,ISVP6,-863.8827209271801,423.326531786386,962.0284341072453,3600.0,0.2672301205853459,-0.23996742247977226,0.11759070327399611,14.247888932060656,0.9580538652818738,14.280063243176413
2019-11-02 17:00:00+00:00,-59.3762,8.3936,,Point,-4.58,983.9,ISVP6,-738.9297229826883,423.3262834046328,851.5998342698593,3600.0,0.23655550951940538,-0.20525825638408007,0.11759063427906467,13.508773392553856,0.5347275818775181,13.519352505138388
2019-11-02 18:00:00+00:00,-59.372,8.382,,Point,35.4,984.6,ISVP6,-659.4264300726335,467.8866558184506,808.5549699131848,3600.0,0.22459860275366245,-0.1831740083535093,0.12996851550512517,12.849254802250776,0.06684092605904893,12.849428651989204
2019-11-02 19:00:00+00:00,-59.3692,8.371,,Point,35.35,985.2,ISVP6,-625.3954644034005,311.9242686186461,698.8678245917623,3600.0,0.19412995127548954,-0.17372096233427792,0.08664563017184615,12.22384915234053,0.2450833425596505,12.226305817538531
2019-11-02 20:00:00+00:00,-59.3674,8.3608,,Point,35.68,986.1,ISVP6,-579.9599403811521,200.52267288635315,613.6471908095049,3600.0,0.17045755300264023,-0.16109998343920892,0.05570074246843143,11.643927475079517,0.4456060154460783,11.652450890946222
2019-11-02 21:00:00+00:00,-59.3658,8.3532,,Point,35.49,986.8,ISVP6,-432.1499013993825,178.24232910243325,467.4653625279162,3600.0,0.12985148959108783,-0.12004163927760625,0.04951175808400923,11.211828925855043,0.623848344548723,11.229171590978385
2019-11-02 22:00:00+00:00,-59.3646,8.3488,,Point,35.68,987.4,ISVP6,-250.2038260663289,133.68171792075256,283.67720437933224,3600.0,0.0787992234387034,-0.06950106279620247,0.03713381053354238,10.961666591102452,0.7575300624690733,10.987810803341858
2019-11-02 23:00:00+00:00,-59.3622,8.347,,Point,35.77,988.0,ISVP6,-102.35972426835117,267.36336151146526,286.287757738614,3600.0,0.07952437714961501,-0.028433256741208657,0.07426760041985146,10.859327450693591,1.0248934239804786,10.907584481080391
2019-11-03 00:00:00+00:00,-59.3588,8.348,,Point,35.8,988.4,ISVP6,56.87052850705314,378.76459248164986,383.0102786224696,3600.0,0.10639174406179712,0.015797369029736982,0.10521238680045829,10.91618252894468,1.4036580164621877,11.00605727917203
2019-11-03 01:00:00+00:00,-59.354,8.3514,,Point,35.69,988.9,ISVP6,193.3791353455858,534.7261448518993,568.6189760948722,3600.0,0.15794971558190896,0.05371642648488495,0.14853504023663872,11.109489790374676,1.938384161313879,11.27732665835621
2019-11-03 02:00:00+00:00,-59.3482,8.356,,Point,35.49,989.6,ISVP6,261.6675303582231,646.1268960088636,697.1010415928386,3600.0,0.19363917822023294,0.07268542509950641,0.17947969333579544,11.371023132524071,2.584511057322969,11.661040454685946
2019-11-03 03:00:00+00:00,-59.3418,8.3614,,Point,35.14,990.2,ISVP6,307.22731621213654,712.9669374610246,776.3443036046988,3600.0,0.21565119544574965,0.08534092117003793,0.1980463715169513,11.67804051684259,3.2974779947836694,12.134660746765839
2019-11-03 04:00:00+00:00,-59.3352,8.367,,Point,35.01,991.0,ISVP6,318.6660518004945,735.2464158012056,801.3334789702941,3600.0,0.22259263304730392,0.08851834772235957,0.20423511550033488,11.996428895106877,4.032724410585143,12.65611205730593
2019-11-03 05:00:00+00:00,-59.3288,8.3722,,Point,35.19,991.9,ISVP6,295.9615907999775,712.9655052223421,771.9540626655208,3600.0,0.2144316840737558,0.08221155299999375,0.19804597367287283,12.29207522736938,4.745689915807488,13.176368474367468
2019-11-03 06:00:00+00:00,-59.323,8.376,,Point,35.5,992.5,ISVP6,216.32029623313744,646.1243799524469,681.3744821545098,3600.0,0.18927068948736384,0.06008897117587151,0.17947899443123524,12.508124458349846,5.391814295760264,13.62075030479358
2019-11-03 07:00:00+00:00,-59.3182,8.3772,,Point,-4.24,992.7,ISVP6,68.32331148753823,534.7231867297265,539.0704604400219,3600.0,0.14974179456667275,0.018978697635427286,0.14853421853603516,12.576350529183514,5.926537482490361,13.90282126635661
2019-11-03 08:00:00+00:00,-59.315,8.378,,Point,-3.44,993.1,ISVP6,45.555295476410215,356.48190405868235,359.38090220161484,3600.0,0.09982802838933745,0.012654248743447283,0.09902275112741177,12.621834575838939,6.283019386549075,14.099185815911317
2019-11-03 09:00:00+00:00,-59.3128,8.3814,,Point,-3.15,993.5,ISVP6,193.62819825150544,245.08120674222457,312.34064265853925,3600.0,0.08676128962737202,0.05378561062541818,0.06807811298395126,12.81514176902299,6.528100593290721,14.382070640776325
2019-11-03 10:00:00+00:00,-59.312,8.3868,,Point,-2.05,993.7,ISVP6,307.54700238615527,89.12041814902801,320.19932480841896,3600.0,0.0889442568912275,0.08542972288504314,0.024755671708063337,13.12215905862462,6.617221011440157,14.696212854817029
2019-11-03 11:00:00+00:00,-59.3132,8.394,,Point,-0.71,993.8,ISVP6,410.072300657793,-133.68063135595628,431.311723659933,3600.0,0.11980881212775918,0.1139089724049425,-0.037133508709987856,13.531515411109753,6.483540380083923,15.004606132160868
2019-11-03 12:00:00+00:00,-59.3136,8.4032,,Point,-2.26,994.1,ISVP6,523.9628136433245,-44.560215964078935,525.8542031093738,3600.0,0.14607061197482604,0.14554522601203457,-0.012377837767799705,14.054581803784496,6.438980164119865,15.459357529768155
2019-11-03 13:00:00+00:00,-59.3114,8.4152,,Point,-2.07,994.5,ISVP6,683.4217307138518,245.08115369870904,726.037212483084,3600.0,0.20167700346752332,0.18983936964273662,0.0680780982496414,14.736842214781545,6.684061317818375,16.18181677574318
2019-11-03 14:00:00+00:00,-59.3082,8.4296,,Point,-2.38,994.7,ISVP6,820.1590463553069,356.48152929520626,894.2818023683002,3600.0,0.24841161176897228,0.2278219573209186,0.09902264702644618,15.555554549538213,7.040542847113871,17.07467484099493
2019-11-03 15:00:00+00:00,-59.304,8.445,,Point,-3.51,995.1,ISVP6,877.1969308580238,467.8817395342557,994.1769348040307,3600.0,0.2761602596677863,0.24366581412722885,0.12996714987062657,16.43112170602734,7.508424586647881,18.065386801606582
2019-11-03 16:00:00+00:00,-59.299,8.4604,,Point,-3.73,995.6,ISVP6,877.3050706369002,557.0016746854167,1039.1896133851487,3600.0,0.2886637814958746,0.24369585295469448,0.15472268741261574,17.306688642784206,8.065426261333668,19.093783610256157
2019-11-03 17:00:00+00:00,-59.2934,8.4744,,Point,-4.31,996.1,ISVP6,797.6670932548733,623.8413643415103,1012.64546585918,3600.0,0.28129040718310555,0.22157419257079813,0.17328926787264173,18.102658384760897,8.689267625674866,20.080079991522826
2019-11-03 18:00:00+00:00,-59.2878,8.4864,,Point,-4.32,996.7,ISVP6,683.8269930144442,623.8408240409138,925.6331509378988,3600.0,0.2571203197049719,0.18995194250401226,0.17328911778914274,18.78491800469149,9.313108449715878,20.96681028290073
2019-11-03 19:00:00+00:00,-59.2824,8.496,,Point,-4.51,997.3,ISVP6,547.1514624385939,601.5602828555585,813.1724889332838,3600.0,0.2258812469259122,0.15198651734405386,0.16710007857098846,19.330725591079812,9.914668732571435,21.72504563756444
2019-11-03 20:00:00+00:00,-59.2776,8.5052,,Point,-4.65,998.0,ISVP6,524.4365275075069,534.7198295759983,748.9719404129347,3600.0,0.2080477612258152,0.1456768131965297,0.14853328599333288,19.85379110047409,10.449388562147384,22.435746976287657
2019-11-03 21:00:00+00:00,-59.2738,8.5124,,Point,-4.76,998.3,ISVP6,410.4863525597656,423.3195834772393,589.6596606460065,3600.0,0.16379435017944624,0.1140239868221571,0.11758877318812203,20.263146650551914,10.872708145624673,22.995888645618944
2019-11-03 22:00:00+00:00,-59.271,8.519,,Point,-4.58,999.0,ISVP6,376.3210748835538,311.9195338350113,488.78558386000304,3600.0,0.1357737732944453,0.10453363191209829,0.0866443149541698,20.638389186118715,11.184627679459776,23.47421999824147
2019-11-03 23:00:00+00:00,-59.2688,8.5254,,Point,-4.78,999.7,ISVP6,364.9473561389705,245.07953892990807,439.60272196031826,3600.0,0.12211186721119952,0.10137426559415848,0.06807764970275224,21.00226068735587,11.429707218389703,23.910942287533622
2019-11-04 00:00:00+00:00,-59.2664,8.533,,Point,-4.76,1000.2,ISVP6,433.40292920051644,267.3594018640194,509.2338841874862,3600.0,0.14145385671874616,0.12038970255569902,0.07426650051778316,21.434358032003505,11.697066620253462,24.418293793030685
2019-11-04 01:00:00+00:00,-59.2648,8.5418,,Point,-4.49,1001.0,ISVP6,501.87026720591734,178.23954608292976,532.5815438908747,3600.0,0.14793931774746522,0.13940840755719927,0.049510985023036046,21.93468118586661,11.875306166336399,24.942997720198708
2019-11-04 02:00:00+00:00,-59.263,8.5522,,Point,-4.95,1001.9,ISVP6,593.1472154192578,200.51943659463748,626.124319613805,3600.0,0.17392342211494585,0.16476311539423827,0.05569984349851041,22.52597206222865,12.075825602931198,25.558657659210397
2019-11-04 03:00:00+00:00,-59.259,8.5624,,Point,35.74,1002.9,ISVP6,581.7712210420733,445.5985480144734,732.8136322595205,3600.0,0.20355934229431127,0.16160311695613147,0.12377737444846483,23.105891826775284,12.521424150945224,26.280568865199918
