time,latitude (deg),longitude (deg),Altitude,temperature (degC),Battery Voltage,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-11-15 00:00:28+00:00,-59.8289,14.0737,8164,-3,6.5 V,Trident_U4,-340.16892459503197,1067.67358519405,0.07781626595395137,-0.02362284198576611,0.07414399897180902
2019-11-15 04:00:28+00:00,-59.78736667,14.13933333,8,-3,6.4 V,Trident_U4,3681.234234946257,4627.187609377275,0.4106178456502461,0.25564126631571227,0.32133247287342187
2019-11-15 08:00:10+00:00,-59.73501667,14.12813333,7918,0,6.5 V,Trident_U4,-628.9660716907263,5832.220275433364,0.40787353179389013,-0.04373286550484816,0.405522199654663
2019-11-15 12:00:30+00:00,-59.72025,14.1245,7,2,6.4 V,Trident_U4,-204.3589207130359,1645.1199443966523,0.11496284446806738,-0.014171908509919272,0.11408598782223664
2019-11-15 16:00:28+00:00,-59.70158333,14.18208333,8164,0,6.5 V,Trident_U4,3240.23826793138,2079.60443122093,0.26741086505818235,0.2250478030234324,0.14443703508966038
2019-11-15 20:00:28+00:00,-59.65403333,14.20858333,2,-5,6.4 V,Trident_U4,1491.9967576732754,5297.393066485866,0.3821869660954455,0.10361088594953301,0.3678745185059629
2019-11-16 00:00:28+00:00,-59.63436667,14.2075,8162,-6,6.5 V,Trident_U4,-61.07985019137601,2190.988236422499,0.15221107332323902,-0.004241656263290001,0.15215196086267355
2019-11-16 04:00:11+00:00,-59.62426667,14.25451667,7961,-5,6.5 V,Trident_U4,2652.425215499909,1125.2002417275985,0.20032128999566623,0.1844139063825286,0.07823126202653122
2019-11-16 08:00:28+00:00,-59.59018333,14.29328333,2,-1,6.4 V,Trident_U4,2187.6613078393293,3797.0744737287055,0.3039602832610227,0.15174178454875004,0.2633747987604013
2019-11-16 12:00:28+00:00,-59.54573333,14.29233333,3,-2,6.4 V,Trident_U4,-53.66424489517368,4951.948403928526,0.34390549826350864,-0.00372668367327595,0.3438853058283699
2019-11-16 16:00:29+00:00,-59.51615,14.28875,8164,1,6.5 V,Trident_U4,-202.6846097407314,3295.7095437130315,0.22928520008928516,-0.014074342735971903,0.2288528257560608
2019-11-16 20:00:28+00:00,-59.50445,14.31921667,2,-5,6.4 V,Trident_U4,1724.802780838502,1303.425919239776,0.15014320862940597,0.11978628938388097,0.09052197508436531
2019-11-17 00:00:28+00:00,-59.47626667,14.34996667,0,-5,6.4 V,Trident_U4,1741.4456812568706,3139.7239282269766,0.24932876136049148,0.12093372786506046,0.21803638390465116
2019-11-17 04:00:28+00:00,-59.45451667,14.33976667,5,-4,6.3 V,Trident_U4,-578.1318348189506,2423.018595846872,0.1729885439390637,-0.040148044084649344,0.16826518026714388
2019-11-17 08:00:10+00:00,-59.45921667,14.35048333,24,1,6.4 V,Trident_U4,607.8062671986512,-523.5941349021341,0.05578041502015974,0.042261595549899264,-0.0364062115771196
2019-11-17 12:00:10+00:00,-59.44981667,14.38751667,5,5,6.5 V,Trident_U4,2100.092034717431,1047.1878903702525,0.16296510232476746,0.14583972463315492,0.07272138127571198
2019-11-17 16:00:28+00:00,-59.4324,14.35165,8166,1,6.5 V,Trident_U4,-2034.496904256344,1940.2647025168578,0.1949903329944336,-0.1411081220874146,0.13457238885537923
2019-11-17 20:00:29+00:00,-59.44268333,14.3096,8162,-5,6.5 V,Trident_U4,-2386.465600625083,-1145.5904744300133,0.18381962051211598,-0.16571526981633797,-0.07954936979584844
2019-11-18 00:00:28+00:00,-59.43963333,14.32018333,8163,-6,6.5 V,Trident_U4,600.4540186055701,339.7783496223695,0.04791467752241741,0.04170109164563998,0.023597357429152685
2019-11-18 04:00:28+00:00,-59.4077,14.30713333,6,-5,6.3 V,Trident_U4,-740.4692305049819,3557.4507833049906,0.2523400395272625,-0.05142147434062374,0.2470451932850688
2019-11-18 08:00:10+00:00,-59.39861667,14.26096667,4,-3,6.4 V,Trident_U4,-2622.0073860552393,1011.901895897557,0.19541736305511662,-0.18231173592374073,0.07035891363492956
