time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-07-28 19:00:00,-57.8622,19.9676,0.772,-1.3,950.6,-7.7,14.8,40.0,0,2015P6,2778.0103718488617,44.55008805491433,2778.367566835884,3600.0,0.7717687685655233,0.7716695477357949,0.012375024459698425,993.8824799137168,1184.1109943709894,1545.9370074067353
2015-07-28 20:00:00,-57.861,20.017,0.815,-1.3,952.3,-6.2,14.8,32.0,0,2015P6,2932.376799914512,133.6502471986354,2935.4209383414045,3600.0,0.8153947050948346,0.8145491110873645,0.03712506866628761,995.8651818728222,1184.2446446181884,1547.3147187219051
2015-07-28 21:00:00,-57.8584,20.052,0.583,-1.3,957.6,8.5,14.8,32.0,0,2015P6,2077.664053585789,289.5754483065963,2097.746853131831,3600.0,0.5827074592032864,0.5771289037738303,0.08043762452961008,997.2698325061195,1184.534220066495,1548.4406470172898
2015-07-28 22:00:00,-57.858,20.0884,0.6,-1.3,959.4,8.8,14.8,40.0,0,2015P6,2160.926387643802,44.55005836994541,2161.3855649828092,3600.0,0.6003848791618914,0.6002573299010562,0.012375016213873725,998.7305830493679,1184.578770124865,1549.4159028965296
2015-07-28 23:00:00,-57.8594,20.1354,0.776,-1.3,953.3,1.0,14.8,36.0,0,2015P6,2790.2380700107296,-155.92521665858843,2794.591412090009,3600.0,0.7762753922472246,0.775066130558536,-0.04331256018294123,1000.6165869021218,1184.4228449082061,1550.5131503873483
2015-07-29 00:00:00,-57.8604,20.184,0.802,-1.4,953.1,-4.5,14.8,36.0,0,2015P6,2885.1129038753033,-111.37517595986587,2887.2618339748606,3600.0,0.8020171761041279,0.8014202510764732,-0.03093754887774052,1002.5666406674237,1184.3114697322465,1551.6873158979283
2015-07-29 01:00:00,-57.8608,20.23,0.759,-1.4,953.5,-5.9,14.8,32.0,0,2015P6,2730.689591638337,-44.55007533226169,2731.052975519526,3600.0,0.7586258265332018,0.7585248865662046,-0.012375020925628248,1004.4122256099134,1184.266919656914,1552.8464366924165
2015-07-29 02:00:00,-57.8594,20.2686,0.638,-1.4,958.8,5.5,14.8,36.0,0,2015P6,2291.379343428686,155.92525129175084,2296.6784667171137,3600.0,0.6379662407547538,0.6364942620635239,0.043312569803264124,1005.9608031275778,1184.4228449082061,1553.9673783479273
2015-07-29 03:00:00,-57.8584,20.3052,0.604,-1.4,959.7,6.6,14.8,44.0,0,2015P6,2172.7393675780336,111.3751582890198,2175.592053972274,3600.0,0.6043311261034093,0.6035387132161204,0.030937543969172164,1007.4290514676603,1184.534220066495,1555.003090752417
2015-07-29 04:00:00,-57.854,20.3576,0.875,-1.4,952.7,-0.8,14.8,36.0,0,2015P6,3110.7841002343434,490.0504865408869,3149.1470587493613,3600.0,0.8747630718748226,0.8641066945095398,0.13612513515024635,1009.5309776338639,1185.024270553036,1556.7386796126511
