time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-01-23 07:00:26,-65.7648,-61.0842,0.036,-2.1,991.1,0.2,0.0,5.0,60.0,2019P93,-96.22465318280044,78.0527985345271,123.9008605265585,3600.0,0.03441690570182181,-0.026729070328555676,0.021681332926257527
2019-01-23 08:00:54,-65.7643,-61.0856,0.023,-2.2,991.0,0.1,0.0,6.0,60.0,2019P93,-64.15150790006237,55.75199453844787,84.99235766153852,3628.0,0.023426779950809957,-0.01768233404081102,0.015367142926804815
2019-01-23 09:00:26,-65.764,-61.0851,0.012,-1.9,991.3,0.4,0.0,6.0,60.0,2019P93,22.91169647046074,33.451194958964244,40.545385425929275,3572.0,0.011350891776575944,0.006414248731931898,0.009364836214715634
2019-01-23 10:00:26,-65.7637,-61.0822,0.037,-1.3,991.3,0.2,0.0,4.0,60.0,2019P93,132.8893834080916,33.45119363368042,137.03492466557842,3600.0,0.03806525685154956,0.03691371761335877,0.009291998231577893
2019-01-23 11:00:27,-65.7632,-61.0773,0.064,-0.8,991.4,0.4,0.0,4.0,60.0,2019P93,224.53984263589865,55.75198644782236,231.35778552672977,3601.0,0.06424820481164392,0.0623548577161618,0.015482362245993435
2019-01-23 12:00:54,-65.7624,-61.0708,0.086,-0.1,991.4,0.1,0.0,5.0,60.0,2019P93,297.86474224709616,89.20317066685534,310.9350580602791,3627.0,0.08572789028405821,0.08212427412382028,0.024594202003544344
2019-01-23 13:00:26,-65.7614,-61.0635,0.099,0.5,991.4,0.1,0.0,5.0,60.0,2019P93,334.53538165951875,111.50395009192523,352.62877430547616,3572.0,0.09872026156368313,0.09365492207713291,0.0312161114479074
2019-01-23 14:00:26,-65.7608,-61.0558,0.099,0.8,991.4,0.0,0.0,5.0,60.0,2019P93,352.8797515640267,66.90236299249011,359.1657628976739,3600.0,0.09976826747157609,0.09802215321222964,0.01858398972013614
2019-01-23 15:00:26,-65.7608,-61.0484,0.095,2.6,991.3,-0.1,0.0,4.0,60.0,2019P93,339.1390688098447,0.0,339.1390688098447,3600.0,0.09420529689162352,0.09420529689162352,0.0
2019-01-23 16:00:54,-65.7606,-61.0421,0.08,2.8,991.3,-0.1,0.0,4.0,60.0,2019P93,288.7265045733732,22.300786487893877,289.5864629452432,3628.0,0.07981986299483,0.0795828292649871,0.006146854048482325
2019-01-23 17:00:26,-65.7607,-61.0379,0.054,3.4,991.4,0.0,0.0,4.0,60.0,2019P93,192.4858270396094,-11.150393171106908,192.80851868886054,3572.0,0.053977748793074064,0.05388740958555695,-0.0031216106302091005
2019-01-23 18:00:26,-65.7611,-61.0364,0.022,3.4,991.2,-0.1,0.0,5.0,60.0,2019P93,68.74467205885134,-44.60157415149601,81.94589894113318,3600.0,0.022762749705870326,0.019095742238569816,-0.012389326153193336
2019-01-23 19:00:27,-65.7618,-61.0365,0.023,3.3,990.9,-0.4,0.0,5.0,60.0,2019P93,-4.582907155511592,-78.05276042873889,78.18718851923342,3601.0,0.021712632190845158,-0.0012726762442409308,-0.021675301424254067
2019-01-23 20:00:54,-65.7626,-61.0378,0.029,2.5,990.5,-0.9,0.0,5.0,60.0,2019P93,-59.57617818256951,-89.20316360587866,107.26847348656746,3627.0,0.02957498579723393,-0.016425745294339537,-0.024594200056762796
2019-01-23 21:00:26,-65.7633,-61.0396,0.03,2.1,990.3,-0.9,0.0,4.0,60.0,2019P93,-82.48753749992025,-78.05277587781595,113.5624483050331,3572.0,0.03179239874161061,-0.023092815649473755,-0.021851281040821933
2019-01-23 22:00:28,-65.7635,-61.0406,0.014,1.1,989.9,-1.0,0.0,4.0,60.0,2019P93,-45.82516752333958,-22.300794430912777,50.96343209392365,3602.0,0.01414864855467064,-0.012722145342404104,-0.006191225549948023
2019-01-23 23:00:26,-65.7632,-61.0399,0.012,1.0,989.6,-0.9,0.0,5.0,60.0,2019P93,32.07736882550632,33.45119142675137,46.34587143033055,3598.0,0.0128810092913648,0.008915333192191862,0.0092971627089359
2019-01-24 00:00:55,-65.7622,-61.0376,0.044,0.2,989.4,-0.9,0.0,5.0,60.0,2019P93,105.39829345172926,111.50396186095362,153.4338090944295,3629.0,0.042279914327481266,0.029043343469751792,0.030725809275545225
