time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-11-24 07:00:00+00:00,-58.4334,5.2802,,Point,-2.81,990.5,ISVP4,-1051.142514886832,1336.624393815446,1700.4309326594603,3600.0,0.47234192573873895,-0.2919840319130089,0.3712845538376239
2019-11-24 08:00:00+00:00,-58.4192,5.2576,,Point,-2.89,990.3,ISVP4,-1320.21706273866,1581.6689441219814,2060.2547758824003,3600.0,0.5722929933006667,-0.36672696187185,0.4393524844783282
2019-11-24 09:00:00+00:00,-58.4056,5.2294,,Point,-2.74,990.3,ISVP4,-1648.0137212063619,1514.8345531324564,2238.453249154078,3600.0,0.6217925692094661,-0.4577815892239894,0.42078737587012677
2019-11-24 10:00:00+00:00,-58.3956,5.1998,,Point,-2.32,990.0,ISVP4,-1730.4966456387233,1113.8468702757473,2057.978010327115,3600.0,0.5716605584241986,-0.48069351267742316,0.3094019084099298
2019-11-24 11:00:00+00:00,-58.3888,5.1752,,Point,-2.61,989.8,ISVP4,-1438.5903517242384,757.4148715976191,1625.7981079430822,3600.0,0.45161058553974504,-0.39960843103451066,0.21039301988822753
2019-11-24 12:00:00+00:00,-58.3836,5.1548,,Point,-2.53,989.6,ISVP4,-1193.2070374994519,579.1990613021368,1326.3538694298345,3600.0,0.36843163039717625,-0.3314463993054033,0.16088862813948243
2019-11-24 13:00:00+00:00,-58.379,5.1402,,Point,-1.26,989.1,ISVP4,-854.0875890604162,512.3680056125547,995.9852323013737,3600.0,0.27666256452815935,-0.23724655251678228,0.14232444600348743
2019-11-24 14:00:00+00:00,-58.375,5.1342,,Point,-0.96,988.7,ISVP4,-351.04059046131295,445.53709491506805,567.214949641479,3600.0,0.15755970823374418,-0.09751127512814249,0.12376030414307446
2019-11-24 15:00:00+00:00,-58.3706,5.1334,,Point,-0.77,988.6,ISVP4,-46.81070925146466,490.090480694186,492.32095402052863,3600.0,0.13675582056125796,-0.013002974792073517,0.1361362446372739
2019-11-24 16:00:00+00:00,-58.3628,5.1338,,Point,-1.12,988.7,ISVP4,23.408267938530948,868.7959276965008,869.1112189989872,3600.0,0.2414197830552742,0.00650229664959193,0.2413322021379169
2019-11-24 17:00:00+00:00,-58.3522,5.138,,Point,-1.65,988.5,ISVP4,245.84103705043415,1180.6696802861309,1205.9928314235485,3600.0,0.33499800872876345,0.06828917695845393,0.3279638000794808
2019-11-24 18:00:00+00:00,-58.3364,5.1432,,Point,-2.99,988.8,ISVP4,304.4658417032078,1759.8624723428948,1786.0054228150846,3600.0,0.4961126174486346,0.08457384491755772,0.48885068676191523
2019-11-24 19:00:00+00:00,-58.3176,5.1432,,Point,-3.26,989.1,ISVP4,0.0,2094.007873589302,2094.007873589302,3600.0,0.5816688537748061,0.0,0.5816688537748061
2019-11-24 20:00:00+00:00,-58.2962,5.1404,,Point,-3.38,989.4,ISVP4,-164.10344386063252,2383.5971648609257,2389.239499217264,3600.0,0.6636776386714622,-0.045584289961286814,0.6621103235724793
